name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
Barry's Landing & Trail Creek Campground,bica,WY,-108.2255711,45.10441283,30,16,0,['None'],No,Yes - seasonal,['No water'],No,http://www.hiddentreasurecharters.com
Belle Fourche River Campground,deto,WY,-104.7063435,44.58183404,46,3,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Bridge Bay Campground,yell,WY,-110.4369237,44.53443775,432,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Canyon Campground,yell,WY,-110.4879124,44.73538375,273,0,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Colter Bay Campground,grte,WY,-110.641379,43.90747805,324,0,13,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258830
Colter Bay RV Park,grte,WY,-110.641324,43.905642,112,0,112,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258831
Colter Bay Tent Village,grte,WY,-110.6349474,43.90415027,66,0,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/10099575
Fishing Bridge RV Park,yell,WY,-110.3694723,44.56475525,310,0,310,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://secure.yellowstonenationalparklodges.com/booking/lodging
Grant Village Campground,yell,WY,-110.563445,44.39425335,430,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Gros Ventre Campground,grte,WY,-110.665884,43.61590783,279,0,39,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247661
Headwaters Campground,grte,WY,-110.6710202,44.10589806,171,34,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258832
Horseshoe Bend Campground,bica,WY,-108.26,44.96,68,0,28,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,http://www.horseshoebend-marina.com
Indian Creek Campground,yell,WY,-110.7360686,44.88702325,70,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259304
Jenny Lake Campground,grte,WY,-110.7193935,43.7552632,61,51,0,"['Coin-Operated - Seasonal', 'None']",No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247664
Lewis Lake Campground,yell,WY,-110.6279873,44.28220565,85,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259309
Lizard Creek Campground,grte,WY,-110.6886593,44.00346925,60,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247785
Madison Campground,yell,WY,-110.8613027,44.64542155,276,117,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Mammoth Campground,yell,WY,-110.6932316,44.97360955,85,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247571
Medicine Creek Campground,bica,WY,-108.2043116,45.11018066,5,5,0,['None'],No,No,['No water'],No,
Norris Campground,yell,WY,-110.6936151,44.73784855,112,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Pebble Creek Campground,yell,WY,-110.1138084,44.91698135,27,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259307
Signal Mountain Campground,grte,WY,-110.613487,43.84147805,81,4,25,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247663
Slough Creek Campground,yell,WY,-110.3068792,44.94884665,16,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259310
Tower Fall Campground,yell,WY,-110.3894759,44.88954985,31,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Army Camp,neri,WV,-81.092319,37.858852,11,0,0,['None'],No,No,['No water'],No,
Brooklyn Campground,neri,WV,-81.027881,37.984096,5,5,0,['None'],No,No,['No water'],No,
Burnwood Group Campsite,neri,WV,-81.077535,38.073636,1,0,0,['None'],No,No,['Yes - year round'],No,
Glade Creek Campground,neri,WV,-81.013398,37.829446,11,6,0,['None'],No,No,['No water'],No,
Grandview Sandbar,neri,WV,-81.051906,37.857116,16,6,0,['None'],No,No,['No water'],No,
Marcus Island Campground,laro,WV,-118.0573683,48.66873219,25,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/274993
Meadow Creek Campground,neri,WV,-80.92009,37.79667,26,26,0,['None'],No,No,['No water'],No,
Stone Cliff,neri,WV,-81.0638,37.933636,7,6,0,['None'],No,No,['No water'],No,
Thayer Campground,neri,WV,-81.032211,37.902,4,4,0,['None'],No,No,['No water'],No,
Cloverleaf Campground,laro,WA,-118.1468585,48.29711097,7,7,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275085
Colonial Creek North Campground,noca,WA,-121.101,48.691,41,10,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246855?tab=campsites
