,Name,Type,Park Code,Org Code,Region,NameType
1,ABRAHAM LINCOLN BIRTHPLACE,NHP,ABLI,5540,SER,ABRAHAM LINCOLN BIRTHPLACE NHP
2,ACADIA    ,NP,ACAD,1700,NER,ACADIA NP
3,ADAMS      ,NHP,ADAM,1710,NER,ADAMS NHP
4,AFRICAN BURIAL GROUND,NM,AFBG,1762,NER,AFRICAN BURIAL GROUND NM
5,AGATE FOSSIL BEDS     ,NM,AGFO,6710,MWR,AGATE FOSSIL BEDS NM
6,ALIBATES FLINT QUARRIES NATIONAL MONUMENT,NM,ALFL,7550,IMR,ALIBATES FLINT QUARRIES NATIONAL MONUMENT NM
7,ALLEGHENY PORTAGE RAILROAD ,NHS,ALPO,4130,NER,ALLEGHENY PORTAGE RAILROAD NHS
8,AMISTAD    ,NRA,AMIS,7100-7109,IMR,AMISTAD NRA
9,ANDERSONVILLE ,NHS,ANDE,5100,SER,ANDERSONVILLE NHS
10,ANDREW JOHNSON      ,NHS,ANJO,5450,SER,ANDREW JOHNSON NHS
13,ANTIETAM    ,NB,ANTI,3120,NCR,ANTIETAM NB
14,APOSTLE ISLANDS     ,NL,APIS,6140,MWR,APOSTLE ISLANDS NL
16,APPOMATTOX COURT HOUSE  ,NHP,APCO,4180,NER,APPOMATTOX COURT HOUSE NHP
17,ARCHES    ,NP,ARCH,1348,IMR,ARCHES NP
18,ARKANSAS POST     ,NMEM,ARPO,7110,MWR,ARKANSAS POST NMEM
20,"ASSATEAGUE ISLAND NS
",NS,ASIS,4190,NER,ASSATEAGUE ISLAND NS NS
21,AZTEC RUINS    ,NM,AZRU,7380,IMR,AZTEC RUINS NM
22,BADLANDS    ,NP,BADL,1300,MWR,BADLANDS NP
23,BANDELIER    ,NM,BAND,7120-7129,IMR,BANDELIER NM
25,BENTS OLD FORT      ,NHS,BEOL,1310,IMR,BENTS OLD FORT NHS
27,BIG BEND    ,NP,BIBE,7130-7139,IMR,BIG BEND NP
28,BIG CYPRESS    ,NPRES,BICY,5120,SER,BIG CYPRESS NPRES
29,BIG HOLE    ,NB,BIHO,9374,PWR,BIG HOLE NB
30,"BIG SOUTH FORK    

",NR&RA,BISO,5130,SER,BIG SOUTH FORK NR&RA
31,BIG THICKET    ,NPRES,BITH,7140-7149,IMR,BIG THICKET NPRES
