Name,Type,Park Code,Org Code,Region,Park
ABRAHAM LINCOLN BIRTHPLACE,NHP,ABLI,5540,SER,ABRAHAM LINCOLN BIRTHPLACE NHP
ACADIA    ,NP,ACAD,1700,NER,ACADIA NP
ADAMS      ,NHP,ADAM,1710,NER,ADAMS NHP
AFRICAN BURIAL GROUND,NM,AFBG,1762,NER,AFRICAN BURIAL GROUND NM
AGATE FOSSIL BEDS     ,NM,AGFO,6710,MWR,AGATE FOSSIL BEDS NM
ALIBATES FLINT QUARRIES NATIONAL MONUMENT,NM,ALFL,7550,IMR,ALIBATES FLINT QUARRIES NATIONAL MONUMENT NM
ALLEGHENY PORTAGE RAILROAD ,NHS,ALPO,4130,NER,ALLEGHENY PORTAGE RAILROAD NHS
AMISTAD    ,NRA,AMIS,7100-7109,IMR,AMISTAD NRA
ANDERSONVILLE ,NHS,ANDE,5100,SER,ANDERSONVILLE NHS
ANDREW JOHNSON      ,NHS,ANJO,5450,SER,ANDREW JOHNSON NHS
ANTIETAM    ,NB,ANTI,3120,NCR,ANTIETAM NB
APOSTLE ISLANDS     ,NL,APIS,6140,MWR,APOSTLE ISLANDS NL
APPOMATTOX COURT HOUSE  ,NHP,APCO,4180,NER,APPOMATTOX COURT HOUSE NHP
ARCHES    ,NP,ARCH,1348,IMR,ARCHES NP
ARKANSAS POST     ,NMEM,ARPO,7110,MWR,ARKANSAS POST NMEM
"ASSATEAGUE ISLAND NS
",NS,ASIS,4190,NER,ASSATEAGUE ISLAND NS NS
AZTEC RUINS    ,NM,AZRU,7380,IMR,AZTEC RUINS NM
BADLANDS    ,NP,BADL,1300,MWR,BADLANDS NP
BANDELIER    ,NM,BAND,7120-7129,IMR,BANDELIER NM
BENTS OLD FORT      ,NHS,BEOL,1310,IMR,BENTS OLD FORT NHS
BIG BEND    ,NP,BIBE,7130-7139,IMR,BIG BEND NP
BIG CYPRESS    ,NPRES,BICY,5120,SER,BIG CYPRESS NPRES
BIG HOLE    ,NB,BIHO,9374,PWR,BIG HOLE NB
"BIG SOUTH FORK    

",NR&RA,BISO,5130,SER,BIG SOUTH FORK NR&RA
BIG THICKET    ,NPRES,BITH,7140-7149,IMR,BIG THICKET NPRES
"BIGHORN CANYON    
",NRA,BICA,1380,IMR,BIGHORN CANYON NRA
BIRMINGHAM CIVIL RIGHTS,NM,BICR,5730,SER,BIRMINGHAM CIVIL RIGHTS NM
BISCAYNE    ,NP,BISC,5250,SER,BISCAYNE NP
