State,Park,Recreation Visitors,Percent Change
AL,Horseshoe Bend NMP,"67,773",16.28%
AL,Little River Canyon NPRES,"726,239",-15.81%
AL,Natchez Trace PKWY,"458,046",2.22%
AL,Russell Cave NM,"16,988",-24.14%
AL,Tuskegee Airmen NHS,"16,137",100.29%
AL,Tuskegee Institute NHS,"9,769",73.55%
AK,Alagnak Wild River,184,-29.77%
AK,Aniakchak NM & PRES,179,23.45%
AK,Bering Land Bridge NPRES,"2,642",0.00%
AK,Cape Krusenstern NM,"17,403",43.09%
AK,Denali NP & PRES,"427,562",86.28%
AK,Gates of the Arctic NP & PRES,"9,457",28.46%
AK,Glacier Bay NP & PRES,"545,758",507.96%
AK,Katmai NP & PRES,"33,908",36.92%
AK,Kenai Fjords NP,"389,943",-5.30%
AK,Klondike Gold Rush NHP Alaska,"342,909",931.99%
AK,Kobuk Valley NP,"16,925",46.66%
AK,Lake Clark NP & PRES,"18,187",-0.50%
AK,Noatak NPRES,"18,393",42.68%
AK,Sitka NHP,"134,451",38.91%
AK,Wrangell-St. Elias NP & PRES,"65,236",29.98%
AK,Yukon-Charley Rivers NPRES,744,18.28%
AS,National Park of American Samoa,"1,887",-77.79%
AZ,Canyon de Chelly NM,"354,972",92.72%
AZ,Casa Grande Ruins NM,"78,557",59.47%
AZ,Chiricahua NM,"61,377",14.91%
AZ,Coronado NMEM,"131,359",1.23%
AZ,Fort Bowie NHS,"7,913",-14.73%
AZ,Glen Canyon NRA,"874,814",16.74%
AZ,Grand Canyon NP,"4,732,101",4.40%
AZ,Hubbell Trading Post NHS,"50,017",135.31%
AZ,Lake Mead NRA,"1,394,555",-26.64%
AZ,Montezuma Castle NM,"364,014",-12.95%
AZ,Navajo NM,"41,118",177.19%
AZ,Organ Pipe Cactus NM,"133,317",-30.14%
AZ,Petrified Forest NP,"505,209",-14.42%
AZ,Pipe Spring NM,"23,001",-4.27%
AZ,Saguaro NP,"908,194",-15.89%
AZ,Sunset Crater Volcano NM,"54,787",-56.40%
AZ,Tonto NM,"31,504",-2.57%
AZ,Tumacacori NHP,"38,786",16.28%
AZ,Tuzigoot NM,"116,639",-6.24%
AZ,Walnut Canyon NM,"179,396",-15.51%
AZ,Wupatki NM,"194,448",-6.27%
AR,Arkansas Post NMEM,"22,791",-12.49%
AR,Buffalo NR,"1,306,932",-13.78%
AR,Fort Smith NHS,"123,229",23.41%
AR,Hot Springs NP,"2,646,133",22.34%
AR,Little Rock Central High School NHS,"92,108",8.57%
AR,Pea Ridge NMP,"81,992",-1.04%
AR,President W.J. Clinton Birthplace Home NHS,"6,078",-16.50%
CA,Cabrillo NM,"768,076",12.36%
CA,Cesar E. Chavez NM,"11,585",26.42%
CA,Channel Islands NP,"323,245",1.25%
CA,Death Valley NP,"1,108,558",-1.50%
CA,Devils Postpile NM,"144,453",-0.64%
CA,Eugene O'Neill NHS,"18,754",-17.43%
CA,Fort Point NHS,"955,454",0.87%
CA,Golden Gate NRA,"15,638,911",14.05%
CA,John Muir NHS,"38,878",5.35%
CA,Joshua Tree NP,"3,058,294",-0.20%
CA,Kings Canyon NP,"640,986",13.87%
CA,Lassen Volcanic NP,"446,291",24.10%
CA,Lava Beds NM,"130,969",26.00%
CA,Manzanar NHS,"116,843",-0.23%
CA,Mojave NPRES,"773,463",-10.75%
CA,Muir Woods NM,"798,625",21.42%
CA,Pinnacles NP,"275,023",-21.16%
CA,Point Reyes NS,"2,336,202",-14.68%
CA,Port Chicago Naval Magazine NMEM,"1,129",98.77%
CA,Redwood NP,"458,400",5.17%
CA,Rosie The Riveter WWII Home Front NHP,"37,359",96.23%
CA,San Francisco Maritime NHP,"3,034,750",7.32%
CA,Santa Monica Mountains NRA,"795,217",-4.24%
CA,Sequoia NP,"1,153,198",8.84%
CA,Whiskeytown NRA,"1,505,134",84.32%
CA,Yosemite NP,"3,667,550",11.56%
,,,
CO,Bent's Old Fort NHS,"26,057",20.72%
CO,Black Canyon of the Gunnison NP,"297,257",-3.77%
CO,Colorado NM,"480,442",-3.88%
CO,Curecanti NRA,"992,749",-4.88%
CO,Dinosaur NM,"259,753",-2.37%
CO,Florissant Fossil Beds NM,"67,174",-10.59%
CO,Great Sand Dunes NP & PRES,"493,428",-18.12%
CO,Hovenweep NM,"12,515",6.49%
CO,Mesa Verde NP,"499,790",-8.88%
CO,Rocky Mountain NP,"4,300,424",-3.03%
CO,Sand Creek Massacre NHS,"4,772",-23.04%
CT,Weir Farm NHP,"37,977",20.52%
DC,Belmont-Paul Women's Equality NM,0,
DC,Carter G. Woodson Home NHS,0,
DC,Chesapeake & Ohio Canal NHP,"1,028,684",-14.37%
