State,Park,Recreation Visitors,Percent Change
Alabama,Horseshoe Bend NMP,"67,773",16.28%
Alabama,Little River Canyon NPRES,"726,239",-15.81%
Alabama,Natchez Trace PKWY,"458,046",2.22%
Alabama,Russell Cave NM,"16,988",-24.14%
Alabama,Tuskegee Airmen NHS,"16,137",100.29%
Alabama,Tuskegee Institute NHS,"9,769",73.55%
Alaska,Alagnak Wild River,184,-29.77%
Alaska,Aniakchak NM & PRES,179,23.45%
Alaska,Bering Land Bridge NPRES,"2,642",0.00%
Alaska,Cape Krusenstern NM,"17,403",43.09%
Alaska,Denali NP & PRES,"427,562",86.28%
Alaska,Gates of the Arctic NP & PRES,"9,457",28.46%
Alaska,Glacier Bay NP & PRES,"545,758",507.96%
Alaska,Katmai NP & PRES,"33,908",36.92%
Alaska,Kenai Fjords NP,"389,943",-5.30%
Alaska,Klondike Gold Rush NHP Alaska,"342,909",931.99%
Alaska,Kobuk Valley NP,"16,925",46.66%
Alaska,Lake Clark NP & PRES,"18,187",-0.50%
Alaska,Noatak NPRES,"18,393",42.68%
Alaska,Sitka NHP,"134,451",38.91%
Alaska,Wrangell-St. Elias NP & PRES,"65,236",29.98%
Alaska,Yukon-Charley Rivers NPRES,744,18.28%
American Samoa,National Park of American Samoa,"1,887",-77.79%
Arizona,Canyon de Chelly NM,"354,972",92.72%
Arizona,Casa Grande Ruins NM,"78,557",59.47%
Arizona,Chiricahua NM,"61,377",14.91%
Arizona,Coronado NMEM,"131,359",1.23%
Arizona,Fort Bowie NHS,"7,913",-14.73%
Arizona,Glen Canyon NRA,"874,814",16.74%
Arizona,Grand Canyon NP,"4,732,101",4.40%
Arizona,Hubbell Trading Post NHS,"50,017",135.31%
Arizona,Lake Mead NRA,"1,394,555",-26.64%
Arizona,Montezuma Castle NM,"364,014",-12.95%
Arizona,Navajo NM,"41,118",177.19%
Arizona,Organ Pipe Cactus NM,"133,317",-30.14%
Arizona,Petrified Forest NP,"505,209",-14.42%
Arizona,Pipe Spring NM,"23,001",-4.27%
Arizona,Saguaro NP,"908,194",-15.89%
Arizona,Sunset Crater Volcano NM,"54,787",-56.40%
Arizona,Tonto NM,"31,504",-2.57%
Arizona,Tumacacori NHP,"38,786",16.28%
Arizona,Tuzigoot NM,"116,639",-6.24%
Arizona,Walnut Canyon NM,"179,396",-15.51%
Arizona,Wupatki NM,"194,448",-6.27%
Arkansas,Arkansas Post NMEM,"22,791",-12.49%
Arkansas,Buffalo NR,"1,306,932",-13.78%
Arkansas,Fort Smith NHS,"123,229",23.41%
Arkansas,Hot Springs NP,"2,646,133",22.34%
Arkansas,Little Rock Central High School NHS,"92,108",8.57%
Arkansas,Pea Ridge NMP,"81,992",-1.04%
Arkansas,President W.J. Clinton Birthplace Home NHS,"6,078",-16.50%
California,Cabrillo NM,"768,076",12.36%
California,Cesar E. Chavez NM,"11,585",26.42%
California,Channel Islands NP,"323,245",1.25%
California,Death Valley NP,"1,108,558",-1.50%
California,Devils Postpile NM,"144,453",-0.64%
California,Eugene O'Neill NHS,"18,754",-17.43%
California,Fort Point NHS,"955,454",0.87%
California,Golden Gate NRA,"15,638,911",14.05%
California,John Muir NHS,"38,878",5.35%
California,Joshua Tree NP,"3,058,294",-0.20%
California,Kings Canyon NP,"640,986",13.87%
California,Lassen Volcanic NP,"446,291",24.10%
California,Lava Beds NM,"130,969",26.00%
California,Manzanar NHS,"116,843",-0.23%
California,Mojave NPRES,"773,463",-10.75%
California,Muir Woods NM,"798,625",21.42%
California,Pinnacles NP,"275,023",-21.16%
California,Point Reyes NS,"2,336,202",-14.68%
California,Port Chicago Naval Magazine NMEM,"1,129",98.77%
California,Redwood NP,"458,400",5.17%
California,Rosie The Riveter WWII Home Front NHP,"37,359",96.23%
California,San Francisco Maritime NHP,"3,034,750",7.32%
California,Santa Monica Mountains NRA,"795,217",-4.24%
California,Sequoia NP,"1,153,198",8.84%
California,Whiskeytown NRA,"1,505,134",84.32%
California,Yosemite NP,"3,667,550",11.56%
,,,
Colorado,Bent's Old Fort NHS,"26,057",20.72%
Colorado,Black Canyon of the Gunnison NP,"297,257",-3.77%
Colorado,Colorado NM,"480,442",-3.88%
Colorado,Curecanti NRA,"992,749",-4.88%
Colorado,Dinosaur NM,"259,753",-2.37%
Colorado,Florissant Fossil Beds NM,"67,174",-10.59%
Colorado,Great Sand Dunes NP & PRES,"493,428",-18.12%
Colorado,Hovenweep NM,"12,515",6.49%
Colorado,Mesa Verde NP,"499,790",-8.88%
Colorado,Rocky Mountain NP,"4,300,424",-3.03%
Colorado,Sand Creek Massacre NHS,"4,772",-23.04%
Connecticut,Weir Farm NHP,"37,977",20.52%
District of Columbia,Belmont-Paul Women's Equality NM,0,
District of Columbia,Carter G. Woodson Home NHS,0,
District of Columbia,Chesapeake & Ohio Canal NHP,"1,028,684",-14.37%
District of Columbia,Dwight D. Eisenhower MEM,"760,603",21.55%
District of Columbia,Ford's Theatre NHS,"319,596",215.97%
District of Columbia,Franklin Delano Roosevelt MEM,"3,291,313",62.77%
District of Columbia,Frederick Douglass NHS,211,-88.32%
District of Columbia,Korean War Veterans Memorial,"4,010,009",34.26%
District of Columbia,Lincoln Memorial,"7,825,397",35.10%
District of Columbia,"Martin Luther King, Jr. Memorial","3,321,897",63.44%
District of Columbia,Mary McLeod Bethune Council House NHS,"1,995",
District of Columbia,National Capital Parks Central,"920,643",39.64%
District of Columbia,National Capital Parks East,"1,141,085",4.28%
District of Columbia,Pennsylvania Avenue NHS,"56,928",
District of Columbia,President's Park,"714,224",80.40%
District of Columbia,Rock Creek Park,"2,026,156",10.22%
District of Columbia,Thomas Jefferson MEM,"2,975,148",62.23%
District of Columbia,Vietnam Veterans MEM,"4,886,254",34.38%
District of Columbia,Washington Monument,"260,317",307.76%
District of Columbia,White House,"236,380",1564.06%
District of Columbia,World War I Memorial,"848,634",48.08%
District of Columbia,World War II Memorial,"4,815,309",29.19%
Florida,Big Cypress NPRES,"2,903,159",13.24%
Florida,Biscayne NP,"701,023",-0.66%
Florida,Canaveral NS,"2,122,075",-4.33%
Florida,Castillo de San Marcos NM,"624,841",25.31%
Florida,De Soto NMEM,"173,150",-22.14%
Florida,Dry Tortugas NP,"78,488",-6.36%
Florida,Everglades NP,"1,155,193",22.62%
Florida,Fort Caroline NMEM,"329,363",1.70%
Florida,Fort Matanzas NM,"698,895",24.33%
Florida,Gulf Islands NS,"4,510,953",2.84%
Florida,Timucuan EHP,"1,102,223",17.83%
Georgia,Andersonville NHS,"60,109",33.33%
Georgia,Chattahoochee River NRA,"3,537,848",8.65%
Georgia,Chickamauga & Chattanooga NMP,"482,136",2.00%
Georgia,Cumberland Island NS,"64,387",-10.87%
Georgia,Fort Frederica NM,"245,214",188.96%
Georgia,Fort Pulaski NM,"471,077",12.30%
Georgia,Jimmy Carter NHP,"35,308",27.86%
Georgia,Kennesaw Mountain NBP,"1,322,003",-26.59%
Georgia,"Martin Luther King, Jr. NHP","242,789",766.05%
Georgia,Ocmulgee Mounds NHP,"155,242",20.51%
Guam,War in the Pacific NHP,"380,578",3.66%
Hawaii,Haleakala NP,"1,087,616",27.48%
Hawaii,Hawaii Volcanoes NP,"1,580,961",25.20%
Hawaii,Kalaupapa NHP,"38,771",53.54%
Hawaii,Kaloko Honokohau NHP,"291,342",10.92%
Hawaii,Pearl Harbor NMEM,"1,545,582",30.39%
Hawaii,Pu'uhonua o Honaunau NHP,"311,441",24.12%
Hawaii,Pu'ukohola Heiau NHS,"31,602",29.91%
Idaho,City of Rocks NRES,"83,996",-13.74%
Idaho,Craters of the Moon NM & PRES,"237,774",-12.21%
Idaho,Hagerman Fossil Beds NM,"25,122",205.03%
Idaho,Minidoka NHS,"4,971",-19.74%
Idaho,Nez Perce NHP,"344,517",11.43%
Illinois,Lincoln Home NHS,"145,144",61.34%
Indiana,George Rogers Clark NHP,"123,229",6.15%
Indiana,Indiana Dunes NP,"2,834,180",-10.80%
Indiana,Lincoln Boyhood NMEM,"105,819",-7.46%
Iowa,Effigy Mounds NM,"56,422",-15.45%
Iowa,Herbert Hoover NHS,"103,804",48.62%
Kansas,Brown v. Board of Education NHP,"15,564",70.79%
Kansas,Fort Larned NHS,"26,219",-10.95%
Kansas,Fort Scott NHS,"26,854",17.30%
Kansas,Nicodemus NHS,"5,307",14.65%
Kansas,Tallgrass Prairie NPRES,"24,795",-29.16%
Kentucky,Abraham Lincoln Birthplace NHP,"265,707",5.78%
Kentucky,Big South Fork NRRA,"327,067",-4.43%
Kentucky,Camp Nelson NM,"16,217",-62.37%
Kentucky,Cumberland Gap NHP,"681,612",-9.97%
Kentucky,Mammoth Cave NP,"663,147",28.57%
Louisiana,Cane River Creole NHP,"14,811",-1.15%
Louisiana,Jean Lafitte NHP & PRES,"269,748",8.88%
Louisiana,New Orleans Jazz NHP,"37,410",45.28%
Maine,Acadia NP,"3,970,260",-2.43%
Maine,Katahdin Woods and Waters NM,"43,231",9.49%
Maine,Saint Croix Island IHS,"12,139",17.87%
Maryland,Antietam NB,"115,619",4.59%
Maryland,Assateague Island NS,"772,289",-12.11%
Maryland,Catoctin Mountain Park,"450,322",-13.46%
Maryland,Chesapeake & Ohio Canal NHP,"3,257,501",-14.37%
Maryland,Clara Barton NHS,673,
Maryland,Fort McHenry NM & HS,"223,957",49.23%
Maryland,Fort Washington Park,"406,917",-36.05%
Maryland,Greenbelt Park,"60,800",154.47%
Maryland,Hampton NHS,"12,506",39.86%
Maryland,Monocacy NB,"127,111",-7.42%
Maryland,National Capital Parks East,"126,785",4.28%
Maryland,Piscataway Park,"243,212",-13.00%
Maryland,Thomas Stone NHS,"4,821",21.53%
Massachusetts,Adams NHP,"12,848",-37.87%
Massachusetts,Boston African American NHS,"390,765",63.34%
Massachusetts,Boston Harbor Islands NRA,"29,241",40.74%
Massachusetts,Boston NHP,"2,123,246",93.34%
Massachusetts,Cape Cod NS,"3,968,672",-1.21%
Massachusetts,Frederick Law Olmsted NHS,"14,148",229.02%
Massachusetts,John F. Kennedy NHS,100,
Massachusetts,Longfellow House Washington's HQ NHS,"60,558",68.71%
Massachusetts,Lowell NHP,"209,284",320.92%
Massachusetts,Minute Man NHP,"960,343",-2.32%
Massachusetts,New Bedford Whaling NHP,"13,570",29.40%
Massachusetts,Salem Maritime NHS,"392,836",117.03%
Massachusetts,Saugus Iron Works NHS,"27,478",34.12%
Massachusetts,Springfield Armory NHS,"14,486",6.85%
Michigan,Isle Royale NP,"25,454",-1.51%
Michigan,Keweenaw NHP,"15,255",22.46%
Michigan,Pictured Rocks NL,"925,685",-29.51%
Michigan,River Raisin NBP,"241,998",-8.15%
Michigan,Sleeping Bear Dunes NL,"1,501,117",-12.88%
Minnesota,Grand Portage NM,"93,108",11.23%
Minnesota,Mississippi NRRA,"303,882",33.01%
Minnesota,Pipestone NM,"78,036",-5.23%
Minnesota,Saint Croix NSR,"416,886",13.89%
Minnesota,Voyageurs NP,"221,434",-8.89%
Mississippi,Gulf Islands NS,"1,174,203",9.48%
Mississippi,Medgar and Myrlie Evers Home NM,"11,231",986.17%
Mississippi,Natchez NHP,"64,691",14.98%
Mississippi,Natchez Trace PKWY,"5,234,829",2.22%
Mississippi,Vicksburg NMP,"410,487",4.73%
Missouri,Gateway Arch NP,"1,618,774",41.37%
Missouri,George Washington Carver NM,"29,725",15.04%
Missouri,Harry S Truman NHS,"21,471",76.75%
Missouri,Ozark NSR,"1,291,305",-2.82%
Missouri,Ulysses S. Grant NHS,"32,354",16.29%
Missouri,Wilson's Creek NB,"282,914",4.30%
Montana,Big Hole NB,"54,781",72.63%
Montana,Bighorn Canyon NRA,"117,537",-0.84%
Montana,Glacier NP,"2,908,458",-5.62%
Montana,Grant-Kohrs Ranch NHS,"24,351",-0.51%
Montana,Little Bighorn Battlefield NM,"168,433",-20.29%
Montana,Yellowstone NP,"1,678,023",-32.30%
Nebraska,Agate Fossil Beds NM,"16,357",-10.44%
Nebraska,Homestead NHP,"47,614",-12.01%
Nebraska,Niobrara NSR,"80,071",-11.69%
Nebraska,Scotts Bluff NM,"174,651",-9.99%
Nevada,Death Valley NP,"20,309",-3.67%
Nevada,Great Basin NP,"142,115",-1.91%
Nevada,Lake Mead NRA,"4,183,669",-26.64%
Nevada,Tule Springs Fossil Beds NM,"47,674",298.85%
New Hampshire,Saint-Gaudens NHP,"25,513",-2.09%
New Jersey,Delaware Water Gap NRA,"3,109,961",0.91%
New Jersey,Gateway NRA,"1,715,457",-5.73%
New Jersey,Morristown NHP,"245,231",-26.14%
New Jersey,Paterson Great Falls NHP,"248,293",-20.57%
New Jersey,Thomas Edison NHP,"33,095",123.51%
New Mexico,Aztec Ruins NM,"50,396",-10.69%
New Mexico,Bandelier NM,"210,941",-22.08%
New Mexico,Capulin Volcano NM,"88,541",-16.96%
New Mexico,Carlsbad Caverns NP,"390,932",11.94%
New Mexico,Chaco Culture NHP,"41,594",30.30%
New Mexico,El Malpais NM,"162,755",-10.44%
New Mexico,El Morro NM,"60,501",-9.34%
New Mexico,Fort Union NM,"7,557",-40.11%
New Mexico,Gila Cliff Dwellings NM,"43,608",-4.01%
New Mexico,Manhattan Project NHP,"9,616",26.79%
New Mexico,Pecos NHP,"49,683",-15.71%
New Mexico,Petroglyph NM,"339,394",-6.81%
New Mexico,Salinas Pueblo Missions NM,"37,190",-2.34%
New Mexico,Valles Caldera NPRES,"63,738",-16.77%
New Mexico,White Sands NP,"705,127",-9.88%
New York,African Burial Ground NM,"29,743",224.46%
New York,Castle Clinton NM,"3,471,661",108.43%
New York,Eleanor Roosevelt NHS,"19,076",53.67%
New York,Federal Hall NMEM,"40,229",777.79%
New York,Fire Island NS,"393,749",75.06%
New York,Fort Stanwix NM,"71,716",56.98%
New York,Gateway NRA,"7,012,833",-3.15%
New York,General Grant NMEM,"132,542",130.56%
New York,Governors Island NM,"44,345",-76.81%
New York,Hamilton Grange NMEM,"45,198",55.34%
New York,Home of Franklin D. Roosevelt NHS,"100,665",117.07%
New York,Martin Van Buren NHS,"11,702",19.13%
New York,Sagamore Hill NHS,"91,735",-55.69%
